Sample_ID;litter;micro;root;sterile;Time;Rep;pH_litter;pct_lignin;CN_litter;TOC;pct_min;pct_agg;litter_remain;MAOM;rMAOM;DOC;SAOM;POM;mic_ge
aooy31;a;o;o;y;3;1;5;29;40;0;79;21;97;0.5;0;3;0;0;0
aooy32;a;o;o;y;3;2;4.8;29;41;0;76;24;97;0.5;0;2;0;0;0
aooy33;a;o;o;y;3;3;4.6;29;38;0;77;23;98;0.6;0.1;4;0;0;0
aooy41;a;o;o;y;4;1;5;30;40;0;75;25;95;0.9;0.2;5;0;0;0
aooy42;a;o;o;y;4;2;4.8;31;41;0;72;28;95;0.9;0;4;0;0;0
aooy43;a;o;o;y;4;3;4.6;29;38;0;69;31;95;0.9;0;3;0;0;0
boon11;b;o;o;n;1;1;7;21;37;0;100;0;99;1;0.2;4;4;0;0.11
boon12;b;o;o;n;1;2;7;22;33;0;98;2;97;1;0.1;4;7;0;0.15
boon13;b;o;o;n;1;3;7;23;31;0.1;96;4;95;0.4;0;4;9;0;0.12
boon21;b;o;o;n;2;1;6.9;21;33;0.1;89;11;95;9.5;0.5;2;5;83;0.21
boon22;b;o;o;n;2;2;6.9;20;30;0.12;90;10;96;3.6;0.4;3;8;85;0.2
boon23;b;o;o;n;2;3;6.9;21;27;0.14;82;18;92;11.4;0.6;3;8;77;0.17
boon31;b;o;o;n;3;1;7.1;23;34;0.2;80;20;80;15.3;0.7;3;8;73;0.32
boon32;b;o;o;o;3;2;7.1;21;30;0;81;19;89;19.2;0.8;2;10;68;0.27
boon33;b;o;o;o;3;3;7.1;23;29;0.23;77;23;88;23.1;0.9;4;12;60;0.25
boon41;b;o;o;o;4;1;6.8;24;30;0.24;78;22;80;25;1;4;13;57;0.31
boon42;b;o;o;o;4;2;6.8;23;25;0.21;77;23;78;35;1;3;14;47;0.32
boon43;b;o;o;o;4;3;6.8;25;25;0.4;76;24;75;33.2;0.8;4;14;48;0.33
booy11;b;o;o;y;1;1;7;21;37;0;100;0;99;0;0;4;1;95;0
booy12;b;o;o;y;1;2;7;22;33;0;98;2;99;1;0;4;0;95;0
booy13;b;o;o;y;1;3;7;23;31;0;96;4;98;0;0;4;0;96;0
booy21;b;o;o;y;2;1;6.9;21;37;0;100;1;97;1;0;3;0.2;95.8;0
booy22;b;o;o;y;2;2;6.9;20;33;0;98;2;97;1;0;4;0.5;94.5;0
booy23;b;o;o;y;2;3;6.9;21;31;0;96;0;97;0;0;3;0.1;96.9;0
booy31;b;o;o;y;3;1;7.1;23;37;0;100;1;96;0.5;0;2;0.1;97.4;0
booy32;b;o;o;y;3;2;7.1;21;33;0;98;2;98;0.9;0;3;0.4;95.7;0
booy33;b;o;o;y;3;3;7.1;23;31;0;96;0;99;1.1;0;3;0.5;95.4;0
booy41;b;o;o;y;4;1;6.8;24;30;0;100;1;99;2;0;2;1;95;0
booy42;b;o;o;y;4;2;6.8;23;25;0;98;2;97;3;0;3;1;93;0
booy43;b;o;o;y;4;3;6.8;25;25;0;96;0;93;1;0;2;1;96;0
coon11;c;o;o;o;1;1;6.4;15;18;0;100;1;98;0.5;0.5;2;1;96;0.35
coon12;c;o;o;o;1;2;6.4;14;19;0.05;98;1.5;95;2;0;3;1;94;0.36
coon13;c;o;o;o;1;3;6.4;15;21;0.75;97;0.5;95;1.75;0.25;3;0;95;0.28
coon21;c;o;o;o;2;1;6.6;13;20;0.1;85;15;93;31;1;3;3;62;0.41
coon22;c;o;o;o;2;2;6.6;14;20;0.15;82;18;93;34;1;4;5;56;0.42
coon23;c;o;o;o;2;3;6.6;12;21;0.18;82;18;93;38;2;5;9;46;0.46
coon31;c;o;o;o;3;1;6.7;13;21;0.21;66;34;90;49;2;4;10;35;0.51
coon32;c;o;o;o;3;2;6.7;13;25;0.2;60;40;91;53;2;4;12;29;0.49
coon33;c;o;o;o;3;3;6.7;13;25;0.17;58;42;89;59;1;5;8;27;0.55
coon41;c;o;o;o;4;1;6;11;25;0.4;58;41;82;58;3;5;12;22;0.52
coon42;c;o;o;o;4;2;6.2;12;25;0.5;55;42;80;60;4;6;10;20;0.53
coon43;c;o;o;o;4;3;6.3;10;23;0.8;56;39;83;60;5;7;9;19;0.51
cooy11;c;o;o;y;1;1;6.4;15;18;0;100;0;99;0.5;0.5;2;1;96;0
cooy12;c;o;o;y;1;2;6.4;14;19;0;98;2;100;2;0;3;1;94;0
cooy13;c;o;o;y;1;3;6.4;15;21;0;97;3;100;1.75;0.25;3;0;95;0
cooy21;c;o;o;y;2;1;6.6;13;20;0;85;15;99;31;1;3;3;62;0
cooy22;c;o;o;y;2;2;6.6;14;20;0;82;18;98;34;1;4;5;56;0
cooy23;c;o;o;y;2;3;6.6;12;21;0;82;18;98;38;2;5;9;46;0
cooy31;c;o;o;y;3;1;6.7;13;21;0;66;34;98;49;2;4;10;35;0
cooy32;c;o;o;y;3;2;6.7;13;25;0;60;40;98;53;2;4;12;29;0
cooy33;c;o;o;y;3;3;6.7;13;25;0;58;42;97;59;1;5;8;27;0
cooy41;c;o;o;y;4;1;6;11;25;0;58;41;96;58;3;5;12;22;0
cooy42;c;o;o;y;4;2;6.2;12;25;0;55;42;96;60;4;6;10;20;0
cooy43;c;o;o;y;4;3;6.3;10;23;0;56;39;98;60;5;7;9;19;0
a1oy11;a;1;o;y;1;1;5;28;37;0;99;1;90;0;0;3;0;97;0.21
a1oy12;a;1;o;y;1;2;5;29;40;0;98;2;91;0;0;2;0;98;0.24
a1oy13;a;1;o;y;1;3;5;27;41;0.06;100;0;90;0;0;2;0;98;0.28
a1oy21;a;1;o;y;2;1;4.5;31;38;0.1;88;12;86;0.8;0.2;1;12;86;0.31
a1oy22;a;1;o;y;2;2;4.5;30;34;0.12;86;14;87;1.9;0.1;2;16;80;0.35
a1oy23;a;1;o;y;2;3;4.5;28;33;0.1;85;15;85;2.7;0.3;3;20;74;0.38
a1oy31;a;1;o;y;3;1;4.8;29;38;0.26;79;21;72;2.5;0.5;3;24;70;0.41
a1oy32;a;1;o;y;3;2;4.8;29;37;0.36;76;24;70;4.4;0.6;2;28;65;0.44
a1oy33;a;1;o;y;3;3;4.8;29;37;0.4;77;23;68;7.4;0.6;4;32;56;0.45
a1oy41;a;1;o;y;4;1;4.6;30;40;0.56;75;25;52;11.3;0.7;5;34;49;0.51
a1oy42;a;1;o;y;4;2;4.6;31;41;0.72;72;28;46;12.4;0.6;4;31;52;0.52
a1oy43;a;1;o;y;4;3;4.6;29;41;0.86;69;31;44;13.2;0.8;3;32;51;0.53
a2oy11;a;2;a;y;1;1;5;28;37;0;99;1;90;0;0;3;0;97;0.12
a2oy12;a;2;a;y;1;2;5;29;40;0;98;2;91;0;0;2;0;98;0.13
a2oy13;a;2;a;y;1;3;5;27;41;0.05;100;0;90;0;0;2;0;98;0.14
a2oy21;a;2;a;y;2;1;4.5;31;38;0.1;88;12;86;0.8;0.2;1;12;86;0.15
a2oy22;a;2;a;y;2;2;4.5;30;34;0.08;86;14;87;1.9;0.1;2;16;80;0.2
a2oy23;a;2;a;y;2;3;4.5;28;33;0.11;85;15;85;2.7;0.3;3;20;74;0.21
a2oy31;a;2;a;y;3;1;4.8;29;38;0.13;79;21;72;2.5;0.5;3;24;70;0.22
a2oy32;a;2;a;y;3;2;4.8;29;37;0.2;76;24;70;4.4;0.6;2;28;65;0.28
a2oy33;a;2;a;y;3;3;4.8;29;37;0.16;77;23;68;7.4;0.6;4;32;56;0.34
a2oy41;a;2;a;y;4;1;4.6;30;40;0.2;75;25;52;11.3;0.7;5;34;49;0.41
a2oy42;a;2;a;y;4;2;4.6;31;41;0.21;72;28;46;12.4;0.6;4;31;52;0.45
a2oy43;a;2;a;y;4;3;4.6;29;41;0.24;69;31;44;13.2;0.8;3;32;51;0.48
a3oy11;a;3;a;y;1;1;5;28;37;0;99;1;90;0;0;3;0;97;0.11
a3oy12;a;3;a;y;1;2;5;29;40;0;98;2;91;0;0;2;0;98;0.13
a3oy13;a;3;a;y;1;3;5;27;41;0;100;0;90;0;0;2;0;98;0.14
a3oy21;a;3;a;y;2;1;4.5;31;38;0.06;88;12;86;0.8;0.2;1;12;86;0.2
a3oy22;a;3;a;y;2;2;4.5;30;34;0.1;86;14;87;1.9;0.1;2;16;80;0.21
a3oy23;a;3;a;y;2;3;4.5;28;33;0.11;85;15;85;2.7;0.3;3;20;74;0.22
a3oy31;a;3;a;y;3;1;4.8;29;38;0.13;79;21;72;2.5;0.5;3;24;70;0.26
a3oy32;a;3;a;y;3;2;4.8;29;37;0.16;76;24;70;4.4;0.6;2;28;65;0.35
a3oy33;a;3;a;y;3;3;4.8;29;37;0.18;77;23;68;7.4;0.6;4;32;56;0.28
a3oy41;a;3;a;y;4;1;4.6;30;40;0.2;75;25;52;11.3;0.7;5;34;49;0.35
a3oy42;a;3;a;y;4;2;4.6;31;41;0.2;72;28;46;12.4;0.6;4;31;52;0.48
a3oy43;a;3;a;y;4;3;4.6;29;41;0.14;69;31;44;13.2;0.8;3;32;51;0.43
o1ay11;o;1;a;y;1;1;5;28;37;0;99;1;90;0;0;3;0;97;0.12
o1ay12;o;1;a;y;1;2;5;29;40;0;98;2;91;0;0;2;0;98;0.14
o1ay13;o;1;a;y;1;3;5;27;41;0.03;100;0;90;0;0;2;0;98;0.22
o1ay21;o;1;a;y;2;1;4.5;31;38;0.06;88;12;86;0.8;0.2;1;12;86;0.22
o1ay22;o;1;a;y;2;2;4.5;30;34;0;86;14;87;1.9;0.1;2;16;80;0.21
o1ay23;o;1;a;y;2;3;4.5;28;33;0.1;85;15;85;2.7;0.3;3;20;74;0.25
o1ay31;o;1;a;y;3;1;4.8;29;38;0.12;79;21;72;2.5;0.5;3;24;70;0.33
o1ay32;o;1;a;y;3;2;4.8;29;37;0.14;76;24;70;4.4;0.6;2;28;65;0.35
o1ay33;o;1;a;y;3;3;4.8;29;37;0.11;77;23;68;7.4;0.6;4;32;56;0.41
o1ay41;o;1;a;y;4;1;4.6;30;40;0.18;75;25;52;11.3;0.7;5;34;49;0.48
o1ay42;o;1;a;y;4;2;4.6;31;41;0.2;72;28;46;12.4;0.6;4;31;52;0.49
o1ay43;o;1;a;y;4;3;4.6;29;41;0.24;69;31;44;13.2;0.8;3;32;51;0.51
o2ay11;o;2;a;y;1;1;5;28;37;0;99;1;90;0;0;3;0;97;0.12
o2ay12;o;2;a;y;1;2;5;29;40;0;98;2;91;0;0;2;0;98;0.14
o2ay23;o;2;a;y;2;3;5;27;41;0.01;100;0;90;0;0;2;0;98;0.22
o2ay31;o;2;a;y;3;1;4.5;31;38;0.05;88;12;86;0.8;0.2;1;12;86;0.22
o2ay22;o;2;a;y;2;2;4.5;30;34;0.11;86;14;87;1.9;0.1;2;16;80;0.21
o2ay23;o;2;a;y;2;3;4.5;28;33;0.08;85;15;85;2.7;0.3;3;20;74;0.25
o2ay31;o;2;a;y;3;1;4.8;29;38;0.1;79;21;72;2.5;0.5;3;24;70;0.33
o2ay32;o;2;a;y;3;2;4.8;29;37;0.09;76;24;70;4.4;0.6;2;28;65;0.35
o2ay33;o;2;a;y;3;3;4.8;29;37;0.13;77;23;68;7.4;0.6;4;32;56;0.41
o2ay41;o;2;a;y;4;1;4.6;30;40;0.14;75;25;52;11.3;0.7;5;34;49;0.48
o2ay42;o;2;a;y;4;2;4.6;31;41;0.15;72;28;46;12.4;0.6;4;31;52;0.49
o2ay43;o;2;a;y;4;3;4.6;29;41;0.14;69;31;44;13.2;0.8;3;32;51;0.51
o3ay11;o;3;a;y;1;1;5;28;37;0;99;1;90;0;0;3;0;97;0.12
o3ay12;o;3;a;y;1;2;5;29;40;0;98;2;91;0;0;2;0;98;0.14
o3ay13;o;3;a;y;1;3;5;27;41;0;100;0;90;0;0;2;0;98;0.22
o3ay21;o;3;a;y;2;1;4.5;31;38;0.04;88;12;86;0.8;0.2;1;12;86;0.22
o3ay22;o;3;a;y;2;2;4.5;30;34;0;86;14;87;1.9;0.1;2;16;80;0.21
o3ay23;o;3;a;y;2;3;4.5;28;33;0.07;85;15;85;2.7;0.3;3;20;74;0.25
o3ay31;o;3;a;y;3;1;4.8;29;38;0.1;79;21;72;2.5;0.5;3;24;70;0.33
o3ay32;o;3;a;y;3;2;4.8;29;37;0.12;76;24;70;4.4;0.6;2;28;65;0.35
o3ay33;o;3;a;y;3;3;4.8;29;37;0.11;77;23;68;7.4;0.6;4;32;56;0.41
o3ay41;o;3;a;y;4;1;4.6;30;40;0.1;75;25;52;11.3;0.7;5;34;49;0.48
o3ay42;o;3;a;y;4;2;4.6;31;41;0.14;72;28;46;12.4;0.6;4;31;52;0.49
o3ay43;o;3;a;y;4;3;4.6;29;41;0.15;69;31;44;13.2;0.8;3;32;51;0.51
o1by11;o;1;b;y;1;1;7;21;37;0;100;0;85;0;0;4;4;92;0.23
o1by12;o;1;b;y;1;2;7;22;33;0;98;2;86;1;0;4;7;88;0.23
o1by13;o;1;b;y;1;3;7;23;31;0;96;4;85;0;0;4;9;87;0.21
o1by21;o;1;b;y;2;1;6.9;21;33;0.05;89;11;80;9.5;0.5;2;5;83;0.32
o1by22;o;1;b;y;2;2;6.9;20;30;0.08;90;10;81;3.6;0.4;3;8;85;0.28
o1by23;o;1;b;y;2;3;6.9;21;27;0.1;82;18;82;11.4;0.6;3;8;77;0.34
o1by31;o;1;b;y;3;1;7.1;23;34;0.15;80;20;74;15.3;0.7;3;8;73;0.42
o1by32;o;1;b;y;3;2;7.1;21;30;0.16;81;19;70;19.2;0.8;2;10;68;0.5
o1by33;o;1;b;y;3;3;7.1;23;29;0.19;77;23;69;23.1;0.9;4;12;60;0.48
o1by41;o;1;b;y;4;1;6.8;24;30;0.15;78;22;43;25;1;4;13;57;0.49
o1by42;o;1;b;y;4;2;6.8;23;25;0.19;77;23;42;35;1;3;14;47;0.49
o1by43;o;1;b;y;4;3;6.8;25;25;0.18;76;24;50;33.2;0.8;4;14;48;0.51
o2by11;o;2;b;y;1;1;7;21;37;0;100;0;85;0;0;4;4;92;0.23
o2by12;o;2;b;y;1;2;7;22;33;0.04;98;2;86;1;0;4;7;88;0.23
o2by13;o;2;b;y;1;3;7;23;31;0;96;4;85;0;0;4;9;87;0.21
o2by21;o;2;b;y;2;1;6.9;21;33;0.08;89;11;80;9.5;0.5;2;5;83;0.32
o2by22;o;2;b;y;2;2;6.9;20;30;0.12;90;10;81;3.6;0.4;3;8;85;0.28
o2by23;o;2;b;y;2;3;6.9;21;27;0.15;82;18;82;11.4;0.6;3;8;77;0.34
o2by31;o;2;b;y;3;1;7.1;23;34;0.18;80;20;74;15.3;0.7;3;8;73;0.42
o2by32;o;2;b;y;3;2;7.1;21;30;0.19;81;19;70;19.2;0.8;2;10;68;0.5
o2by33;o;2;b;y;3;3;7.1;23;29;0.22;77;23;69;23.1;0.9;4;12;60;0.48
o2by41;o;2;b;y;4;1;6.8;24;30;0.31;78;22;43;25;1;4;13;57;0.49
o2by42;o;2;b;y;4;2;6.8;23;25;0.41;77;23;42;35;1;3;14;47;0.49
o2by43;o;2;b;y;4;3;6.8;25;25;0.39;76;24;50;33.2;0.8;4;14;48;0.51
o3by11;o;3;b;y;1;1;7;21;37;0;100;0;85;0;0;4;4;92;0.23
o3by12;o;3;b;y;1;2;7;22;33;0;98;2;86;1;0;4;7;88;0.23
o3by13;o;3;b;y;1;3;7;23;31;0;96;4;85;0;0;4;9;87;0.21
o3by21;o;3;b;y;2;1;6.9;21;33;0;89;11;80;9.5;0.5;2;5;83;0.32
o3by22;o;3;b;y;2;2;6.9;20;30;0.1;90;10;81;3.6;0.4;3;8;85;0.28
o3by23;o;3;b;y;2;3;6.9;21;27;0.08;82;18;82;11.4;0.6;3;8;77;0.34
o3by31;o;3;b;y;3;1;7.1;23;34;0.09;80;20;74;15.3;0.7;3;8;73;0.42
o3by32;o;3;b;y;3;2;7.1;21;30;0.11;81;19;70;19.2;0.8;2;10;68;0.5
o3by33;o;3;b;y;3;3;7.1;23;29;0.15;77;23;69;23.1;0.9;4;12;60;0.48
o3by41;o;3;b;y;4;1;6.8;24;30;0.16;78;22;43;25;1;4;13;57;0.49
o3by42;o;3;b;y;4;2;6.8;23;25;0.2;77;23;42;35;1;3;14;47;0.49
o3by43;o;3;b;y;4;3;6.8;25;25;0.24;76;24;50;33.2;0.8;4;14;48;0.51
b1oy11;b;1;o;y;1;1;7;21;37;0;100;0;85;0;0;4;4;92;0.23
b1oy12;b;1;o;y;1;2;7;22;33;0.04;98;2;86;1;0;4;7;88;0.23
b1oy13;b;1;o;y;1;3;7;23;31;0.06;96;4;85;0;0;4;9;87;0.21
b1oy21;b;1;o;y;2;1;6.9;21;33;0.1;89;11;80;9.5;0.5;2;5;83;0.32
b1oy22;b;1;o;y;2;2;6.9;20;30;0.1;90;10;81;3.6;0.4;3;8;85;0.28
b1oy23;b;1;o;y;2;3;6.9;21;27;0;82;18;82;11.4;0.6;3;8;77;0.34
b1oy31;b;1;o;y;3;1;7.1;23;34;0.11;80;20;74;15.3;0.7;3;8;73;0.42
b1oy32;b;1;o;y;3;2;7.1;21;30;0.12;81;19;70;19.2;0.8;2;10;68;0.5
b1oy33;b;1;o;y;3;3;7.1;23;29;0.14;77;23;69;23.1;0.9;4;12;60;0.48
b1oy41;b;1;o;y;4;1;6.8;24;30;0.18;78;22;43;25;1;4;13;57;0.49
b1oy42;b;1;o;y;4;2;6.8;23;25;0.21;77;23;42;35;1;3;14;47;0.49
b1oy43;b;1;o;y;4;3;6.8;25;25;0.3;76;24;50;33.2;0.8;4;14;48;0.51
b2oy11;b;2;o;y;1;1;7;21;37;0.1;100;0;85;0;0;4;4;92;0.23
b2oy12;b;2;o;y;1;2;7;22;33;0;98;2;86;1;0;4;7;88;0.23
b2oy13;b;2;o;y;1;3;7;23;31;0;96;4;85;0;0;4;9;87;0.21
b2oy21;b;2;o;y;2;1;6.9;21;33;0.2;89;11;80;9.5;0.5;2;5;83;0.32
b2oy22;b;2;o;y;2;2;6.9;20;30;0.23;90;10;81;3.6;0.4;3;8;85;0.28
b2oy23;b;2;o;y;2;3;6.9;21;27;0.24;82;18;82;11.4;0.6;3;8;77;0.34
b2oy31;b;2;o;y;3;1;7.1;23;34;0.3;80;20;74;15.3;0.7;3;8;73;0.42
b2oy32;b;2;o;y;3;2;7.1;21;30;0.35;81;19;70;19.2;0.8;2;10;68;0.5
b2oy33;b;2;o;y;3;3;7.1;23;29;0.41;77;23;69;23.1;0.9;4;12;60;0.48
b2oy41;b;2;o;y;4;1;6.8;24;30;0.46;78;22;43;25;1;4;13;57;0.49
b2oy42;b;2;o;y;4;2;6.8;23;25;0.54;77;23;42;35;1;3;14;47;0.49
b2oy43;b;2;o;y;4;3;6.8;25;25;0.6;76;24;50;33.2;0.8;4;14;48;0.51
b3oy11;b;3;o;y;1;1;7;21;37;0;100;0;85;0;0;4;4;92;0.23
b3oy12;b;3;o;y;1;2;7;22;33;0;98;2;86;1;0;4;7;88;0.23
b3oy13;b;3;o;y;1;3;7;23;31;0;96;4;85;0;0;4;9;87;0.21
b3oy21;b;3;o;y;2;1;6.9;21;33;0.1;89;11;80;9.5;0.5;2;5;83;0.32
b3oy22;b;3;o;y;2;2;6.9;20;30;0.04;90;10;81;3.6;0.4;3;8;85;0.28
b3oy23;b;3;o;y;2;3;6.9;21;27;0;82;18;82;11.4;0.6;3;8;77;0.34
b3oy31;b;3;o;y;3;1;7.1;23;34;0.12;80;20;74;15.3;0.7;3;8;73;0.42
b3oy32;b;3;o;y;3;2;7.1;21;30;0.15;81;19;70;19.2;0.8;2;10;68;0.5
b3oy33;b;3;o;y;3;3;7.1;23;29;0.2;77;23;69;23.1;0.9;4;12;60;0.48
b3oy41;b;3;o;y;4;1;6.8;24;30;0.21;78;22;43;25;1;4;13;57;0.49
b3oy42;b;3;o;y;4;2;6.8;23;25;0.15;77;23;42;35;1;3;14;47;0.49
b3oy43;b;3;o;y;4;3;6.8;25;25;0.26;76;24;50;33.2;0.8;4;14;48;0.51
o1cy11;o;1;c;y;1;1;6.4;15;18;0;100;0;90;0.5;0.5;2;1;96;0.35
o1cy12;o;1;c;y;1;2;6.4;14;19;0.04;98;2;88;2;0;3;1;94;0.36
o1cy13;o;1;c;y;1;3;6.4;15;21;0;97;3;86;1.75;0.25;3;0;95;0.28
o1cy21;o;1;c;y;2;1;6.6;13;20;0.12;85;15;70;31;1;3;3;62;0.41
o1cy22;o;1;c;y;2;2;6.6;14;20;0.1;82;18;70;34;1;4;5;56;0.42
o1cy23;o;1;c;y;2;3;6.6;12;21;0.08;82;18;70;38;2;5;9;46;0.46
o1cy31;o;1;c;y;3;1;6.7;13;21;0;66;34;60;49;2;4;10;35;0.51
o1cy32;o;1;c;y;3;2;6.7;13;25;0.24;60;40;57;53;2;4;12;29;0.49
o1cy33;o;1;c;y;3;3;6.7;13;25;0.14;58;42;51;59;1;5;8;27;0.55
o1cy41;o;1;c;y;4;1;6;11;25;0.22;58;41;43;58;3;5;12;22;0.52
o1cy42;o;1;c;y;4;2;6.2;12;25;0.32;55;42;36;60;4;6;10;20;0.53
o1cy43;o;1;c;y;4;3;6.3;10;23;0.3;56;39;32;60;5;7;9;19;0.51
o2cy11;o;2;c;y;1;1;6.4;15;18;0;100;0;90;0.5;0.5;2;1;96;0.35
o2cy12;o;2;c;y;1;2;6.4;14;19;0;98;2;88;2;0;3;1;94;0.36
o2cy13;o;2;c;y;1;3;6.4;15;21;0;97;3;86;1.75;0.25;3;0;95;0.28
o2cy21;o;2;c;y;2;1;6.6;13;20;0.08;85;15;70;31;1;3;3;62;0.41
o2cy22;o;2;c;y;2;2;6.6;14;20;0.08;82;18;70;34;1;4;5;56;0.42
o2cy23;o;2;c;y;2;3;6.6;12;21;0.1;82;18;70;38;2;5;9;46;0.46
o2cy31;o;2;c;y;3;1;6.7;13;21;0.24;66;34;60;49;2;4;10;35;0.51
o2cy32;o;2;c;y;3;2;6.7;13;25;0.15;60;40;57;53;2;4;12;29;0.49
o2cy33;o;2;c;y;3;3;6.7;13;25;0.16;58;42;51;59;1;5;8;27;0.55
o2cy41;o;2;c;y;4;1;6;11;25;0.24;58;41;43;58;3;5;12;22;0.52
o2cy42;o;2;c;y;4;2;6.2;12;25;0.26;55;42;36;60;4;6;10;20;0.53
o2cy43;o;2;c;y;4;3;6.3;10;23;0.3;56;39;32;60;5;7;9;19;0.51
o3cy11;o;3;c;y;1;1;6.4;15;18;0;100;0;90;0.5;0.5;2;1;96;0.35
o3cy12;o;3;c;y;1;2;6.4;14;19;0;98;2;88;2;0;3;1;94;0.36
o3cy13;o;3;c;y;1;3;6.4;15;21;0.1;97;3;86;1.75;0.25;3;0;95;0.28
o3cy21;o;3;c;y;2;1;6.6;13;20;0.1;85;15;70;31;1;3;3;62;0.41
o3cy22;o;3;c;y;2;2;6.6;14;20;0.1;82;18;70;34;1;4;5;56;0.42
o3cy23;o;3;c;y;2;3;6.6;12;21;0.15;82;18;70;38;2;5;9;46;0.46
o3cy31;o;3;c;y;3;1;6.7;13;21;0.12;66;34;60;49;2;4;10;35;0.51
o3cy32;o;3;c;y;3;2;6.7;13;25;0.2;60;40;57;53;2;4;12;29;0.49
o3cy33;o;3;c;y;3;3;6.7;13;25;0.21;58;42;51;59;1;5;8;27;0.55
o3cy41;o;3;c;y;4;1;6;11;25;0.34;58;41;43;58;3;5;12;22;0.52
o3cy42;o;3;c;y;4;2;6.2;12;25;0.25;55;42;36;60;4;6;10;20;0.53
o3cy43;o;3;c;y;4;3;6.3;10;23;0.41;56;39;32;60;5;7;9;19;0.51
c1cy11;o;1;c;y;1;1;6.4;15;18;0;100;0;90;0.5;0.5;2;1;96;0.35
c1cy12;o;1;c;y;1;2;6.4;14;19;0;98;2;88;2;0;3;1;94;0.36
c1cy13;o;1;c;y;1;3;6.4;15;21;0;97;3;86;1.75;0.25;3;0;95;0.28
c1cy21;o;1;c;y;2;1;6.6;13;20;0;85;15;70;31;1;3;3;62;0.41
c1cy22;o;1;c;y;2;2;6.6;14;20;0;82;18;70;34;1;4;5;56;0.42
c1cy23;o;1;c;y;2;3;6.6;12;21;0.04;82;18;70;38;2;5;9;46;0.46
c1cy31;o;1;c;y;3;1;6.7;13;21;0.1;66;34;60;49;2;4;10;35;0.51
c1cy32;o;1;c;y;3;2;6.7;13;25;0.08;60;40;57;53;2;4;12;29;0.49
c1cy33;o;1;c;y;3;3;6.7;13;25;0.12;58;42;51;59;1;5;8;27;0.55
c1cy41;o;1;c;y;4;1;6;11;25;0.14;58;41;43;58;3;5;12;22;0.52
c1cy42;o;1;c;y;4;2;6.2;12;25;0.15;55;42;36;60;4;6;10;20;0.53
c1cy43;o;1;c;y;4;3;6.3;10;23;0.15;56;39;32;60;5;7;9;19;0.51
